Vardenis            Pavardenis          Galutinis(Vid.)     
Vardenis63          Pavardenis63        4.36                
Vardenis64          Pavardenis64        4.48                
Vardenis65          Pavardenis65        5.16                
Vardenis66          Pavardenis66        2.76                
Vardenis67          Pavardenis67        3.56                
Vardenis68          Pavardenis68        2.6                 
Vardenis69          Pavardenis69        6.24                
Vardenis70          Pavardenis70        2.64                
Vardenis71          Pavardenis71        3.04                
Vardenis72          Pavardenis72        2.28                
Vardenis73          Pavardenis73        2.12                
Vardenis74          Pavardenis74        6.4                 
Vardenis75          Pavardenis75        4.52                
Vardenis76          Pavardenis76        4.76                
Vardenis77          Pavardenis77        4.92                
Vardenis78          Pavardenis78        7.04                
Vardenis79          Pavardenis79        5.04                
Vardenis80          Pavardenis80        8.64                
Vardenis81          Pavardenis81        5.56                
Vardenis82          Pavardenis82        3.56                
Vardenis83          Pavardenis83        3.2                 
Vardenis84          Pavardenis84        5.88                
Vardenis85          Pavardenis85        5.92                
Vardenis86          Pavardenis86        4                   
Vardenis87          Pavardenis87        3.76                
Vardenis88          Pavardenis88        3.8                 
Vardenis89          Pavardenis89        5.56                
Vardenis90          Pavardenis90        3.08                
Vardenis91          Pavardenis91        2.6                 
Vardenis92          Pavardenis92        2.44                
Vardenis93          Pavardenis93        7.28                
Vardenis94          Pavardenis94        4                   
Vardenis95          Pavardenis95        6.52                
Vardenis96          Pavardenis96        6.16                
Vardenis97          Pavardenis97        4.2                 
Vardenis98          Pavardenis98        8.08                
Vardenis99          Pavardenis99        5.28                
Vardenis100         Pavardenis100       4.68                
Vardenis101         Pavardenis101       5.6                 
Vardenis102         Pavardenis102       4.08                
Vardenis103         Pavardenis103       5.08                
Vardenis104         Pavardenis104       6.08                
Vardenis105         Pavardenis105       2.72                
Vardenis106         Pavardenis106       6.4                 
Vardenis107         Pavardenis107       4.64                
Vardenis108         Pavardenis108       2.44                
Vardenis109         Pavardenis109       3.6                 
Vardenis110         Pavardenis110       8                   
Vardenis111         Pavardenis111       2.04                
Vardenis112         Pavardenis112       6.24                
Vardenis113         Pavardenis113       7.56                
Vardenis114         Pavardenis114       7.2                 
Vardenis115         Pavardenis115       5                   
Vardenis116         Pavardenis116       3.72                
Vardenis117         Pavardenis117       7.08                
Vardenis118         Pavardenis118       3.4                 
Vardenis119         Pavardenis119       4.56                
Vardenis120         Pavardenis120       2.52                
Vardenis121         Pavardenis121       4.92                
Vardenis122         Pavardenis122       8                   
Vardenis123         Pavardenis123       7.72                
Vardenis124         Pavardenis124       3.64                
Vardenis125         Pavardenis125       6.72                
Vardenis126         Pavardenis126       7.64                
Vardenis127         Pavardenis127       3.32                
Vardenis128         Pavardenis128       3.84                
Vardenis129         Pavardenis129       5.92                
Vardenis130         Pavardenis130       7.52                
Vardenis131         Pavardenis131       4.6                 
Vardenis132         Pavardenis132       7.48                
Vardenis133         Pavardenis133       2.44                
Vardenis134         Pavardenis134       6.92                
Vardenis135         Pavardenis135       8.12                
Vardenis136         Pavardenis136       6.32                
Vardenis137         Pavardenis137       3.6                 
Vardenis138         Pavardenis138       4.44                
Vardenis139         Pavardenis139       4.12                
Vardenis140         Pavardenis140       6.24                
Vardenis141         Pavardenis141       6.28                
Vardenis142         Pavardenis142       3.88                
Vardenis143         Pavardenis143       3.68                
Vardenis144         Pavardenis144       5.72                
Vardenis145         Pavardenis145       3.52                
Vardenis146         Pavardenis146       5.08                
Vardenis147         Pavardenis147       5.32                
Vardenis148         Pavardenis148       3.16                
Vardenis149         Pavardenis149       5.16                
Vardenis150         Pavardenis150       3.44                
Vardenis151         Pavardenis151       3.08                
Vardenis152         Pavardenis152       8.24                
Vardenis153         Pavardenis153       3.68                
Vardenis154         Pavardenis154       8.16                
Vardenis155         Pavardenis155       4.84                
Vardenis156         Pavardenis156       8.48                
Vardenis157         Pavardenis157       5.4                 
Vardenis158         Pavardenis158       8.16                
Vardenis159         Pavardenis159       2.68                
Vardenis160         Pavardenis160       2.72                
Vardenis161         Pavardenis161       7.8                 
Vardenis162         Pavardenis162       7.96                
Vardenis163         Pavardenis163       4.6                 
Vardenis164         Pavardenis164       3.04                
Vardenis165         Pavardenis165       6.08                
Vardenis166         Pavardenis166       5.36                
Vardenis167         Pavardenis167       8.04                
Vardenis168         Pavardenis168       6.6                 
Vardenis169         Pavardenis169       5.48                
Vardenis170         Pavardenis170       4.2                 
Vardenis171         Pavardenis171       3.44                
Vardenis172         Pavardenis172       7.16                
Vardenis173         Pavardenis173       4.2                 
Vardenis174         Pavardenis174       6.44                
Vardenis175         Pavardenis175       5.2                 
Vardenis176         Pavardenis176       5                   
Vardenis177         Pavardenis177       4.44                
Vardenis178         Pavardenis178       7.56                
Vardenis179         Pavardenis179       5.28                
Vardenis180         Pavardenis180       6                   
Vardenis181         Pavardenis181       3.56                
Vardenis182         Pavardenis182       7.48                
Vardenis183         Pavardenis183       6.32                
Vardenis184         Pavardenis184       4.48                
Vardenis185         Pavardenis185       8.64                
Vardenis186         Pavardenis186       4.72                
Vardenis187         Pavardenis187       6.2                 
Vardenis188         Pavardenis188       5.6                 
Vardenis189         Pavardenis189       7.48                
Vardenis190         Pavardenis190       3.8                 
Vardenis191         Pavardenis191       4.64                
Vardenis192         Pavardenis192       5.8                 
Vardenis193         Pavardenis193       5.64                
Vardenis194         Pavardenis194       5.56                
Vardenis195         Pavardenis195       7.56                
Vardenis196         Pavardenis196       4.44                
Vardenis197         Pavardenis197       3.32                
Vardenis198         Pavardenis198       7.84                
Vardenis199         Pavardenis199       3.4                 
Vardenis200         Pavardenis200       5.56                
Vardenis201         Pavardenis201       3.68                
Vardenis202         Pavardenis202       6.76                
Vardenis203         Pavardenis203       3.4                 
Vardenis204         Pavardenis204       4.68                
Vardenis205         Pavardenis205       2.64                
Vardenis206         Pavardenis206       6.4                 
Vardenis207         Pavardenis207       3.16                
Vardenis208         Pavardenis208       7.04                
Vardenis209         Pavardenis209       6.04                
Vardenis210         Pavardenis210       7.16                
Vardenis211         Pavardenis211       3.96                
Vardenis212         Pavardenis212       3.88                
Vardenis213         Pavardenis213       3.88                
Vardenis214         Pavardenis214       5.96                
Vardenis215         Pavardenis215       8.16                
Vardenis216         Pavardenis216       4                   
Vardenis217         Pavardenis217       4                   
Vardenis218         Pavardenis218       6.16                
Vardenis219         Pavardenis219       5.28                
Vardenis220         Pavardenis220       7.2                 
Vardenis221         Pavardenis221       6.88                
Vardenis222         Pavardenis222       2.12                
Vardenis223         Pavardenis223       3.56                
Vardenis224         Pavardenis224       4                   
Vardenis225         Pavardenis225       3.56                
Vardenis226         Pavardenis226       7.64                
Vardenis227         Pavardenis227       5.8                 
Vardenis228         Pavardenis228       2.88                
Vardenis229         Pavardenis229       4.08                
Vardenis230         Pavardenis230       3.76                
Vardenis231         Pavardenis231       6.64                
Vardenis232         Pavardenis232       3                   
Vardenis233         Pavardenis233       2.68                
Vardenis234         Pavardenis234       4.36                
Vardenis235         Pavardenis235       5.4                 
Vardenis236         Pavardenis236       7.72                
Vardenis237         Pavardenis237       3.84                
Vardenis238         Pavardenis238       3.36                
Vardenis239         Pavardenis239       1.96                
Vardenis240         Pavardenis240       5.4                 
Vardenis241         Pavardenis241       7.72                
Vardenis242         Pavardenis242       4.04                
Vardenis243         Pavardenis243       5.68                
Vardenis244         Pavardenis244       8                   
Vardenis245         Pavardenis245       6.32                
Vardenis246         Pavardenis246       8.16                
Vardenis247         Pavardenis247       5.32                
Vardenis248         Pavardenis248       5.2                 
Vardenis249         Pavardenis249       3.12                
Vardenis250         Pavardenis250       4.32                
Vardenis251         Pavardenis251       4                   
Vardenis252         Pavardenis252       7.76                
Vardenis253         Pavardenis253       5.24                
Vardenis254         Pavardenis254       3.32                
Vardenis255         Pavardenis255       6.08                
Vardenis256         Pavardenis256       8.76                
Vardenis257         Pavardenis257       5.92                
Vardenis258         Pavardenis258       6.4                 
Vardenis259         Pavardenis259       5.4                 
Vardenis260         Pavardenis260       7.32                
Vardenis261         Pavardenis261       7.12                
Vardenis262         Pavardenis262       4.52                
Vardenis263         Pavardenis263       7.12                
Vardenis264         Pavardenis264       5.88                
Vardenis265         Pavardenis265       6.32                
Vardenis266         Pavardenis266       7.56                
Vardenis267         Pavardenis267       2.68                
Vardenis268         Pavardenis268       6.08                
Vardenis269         Pavardenis269       6.88                
Vardenis270         Pavardenis270       5.68                
Vardenis271         Pavardenis271       7.12                
Vardenis272         Pavardenis272       5.24                
Vardenis273         Pavardenis273       3.32                
Vardenis274         Pavardenis274       3.36                
Vardenis275         Pavardenis275       3.36                
Vardenis276         Pavardenis276       5                   
Vardenis277         Pavardenis277       8.36                
Vardenis278         Pavardenis278       7.16                
Vardenis279         Pavardenis279       7.24                
Vardenis280         Pavardenis280       4.08                
Vardenis281         Pavardenis281       4.84                
Vardenis282         Pavardenis282       2.6                 
Vardenis283         Pavardenis283       3.8                 
Vardenis284         Pavardenis284       5.2                 
Vardenis285         Pavardenis285       3.04                
Vardenis286         Pavardenis286       7.24                
Vardenis287         Pavardenis287       5                   
Vardenis288         Pavardenis288       8.92                
Vardenis289         Pavardenis289       7                   
Vardenis290         Pavardenis290       6.56                
Vardenis291         Pavardenis291       4.08                
Vardenis292         Pavardenis292       6.72                
Vardenis293         Pavardenis293       7.12                
Vardenis294         Pavardenis294       4.08                
Vardenis295         Pavardenis295       6.52                
Vardenis296         Pavardenis296       6.4                 
Vardenis297         Pavardenis297       4.56                
Vardenis298         Pavardenis298       6.64                
Vardenis299         Pavardenis299       4.84                
Vardenis300         Pavardenis300       3.12                
Vardenis301         Pavardenis301       2.6                 
Vardenis302         Pavardenis302       3.2                 
Vardenis303         Pavardenis303       4.72                
Vardenis304         Pavardenis304       6.4                 
Vardenis305         Pavardenis305       5.72                
Vardenis306         Pavardenis306       6.84                
Vardenis307         Pavardenis307       3.32                
Vardenis308         Pavardenis308       3.8                 
Vardenis309         Pavardenis309       4.56                
Vardenis310         Pavardenis310       2.6                 
Vardenis311         Pavardenis311       6.12                
Vardenis312         Pavardenis312       6.44                
Vardenis313         Pavardenis313       4.36                
Vardenis314         Pavardenis314       6.6                 
Vardenis315         Pavardenis315       3.16                
Vardenis316         Pavardenis316       3.48                
Vardenis317         Pavardenis317       3.6                 
Vardenis318         Pavardenis318       4.12                
Vardenis319         Pavardenis319       4.84                
Vardenis320         Pavardenis320       3.16                
Vardenis321         Pavardenis321       6.92                
Vardenis322         Pavardenis322       2.6                 
Vardenis323         Pavardenis323       7.2                 
Vardenis324         Pavardenis324       6.4                 
Vardenis325         Pavardenis325       8.72                
Vardenis326         Pavardenis326       4.88                
Vardenis327         Pavardenis327       7.44                
Vardenis328         Pavardenis328       6.28                
Vardenis329         Pavardenis329       4.24                
Vardenis330         Pavardenis330       3.72                
Vardenis331         Pavardenis331       4.72                
Vardenis332         Pavardenis332       3.16                
Vardenis333         Pavardenis333       7.08                
Vardenis334         Pavardenis334       7.2                 
Vardenis335         Pavardenis335       5.48                
Vardenis336         Pavardenis336       3.52                
Vardenis337         Pavardenis337       5.4                 
Vardenis338         Pavardenis338       8.24                
Vardenis339         Pavardenis339       3.56                
Vardenis340         Pavardenis340       4.04                
Vardenis341         Pavardenis341       6.12                
Vardenis342         Pavardenis342       3.88                
Vardenis343         Pavardenis343       7.16                
Vardenis344         Pavardenis344       8.16                
Vardenis345         Pavardenis345       3.12                
Vardenis346         Pavardenis346       6.48                
Vardenis347         Pavardenis347       3.44                
Vardenis348         Pavardenis348       2.88                
Vardenis349         Pavardenis349       5.04                
Vardenis350         Pavardenis350       7.84                
Vardenis351         Pavardenis351       9.04                
Vardenis352         Pavardenis352       7.16                
Vardenis353         Pavardenis353       4.96                
Vardenis354         Pavardenis354       6.88                
Vardenis355         Pavardenis355       6.56                
Vardenis356         Pavardenis356       4.88                
Vardenis357         Pavardenis357       7.6                 
Vardenis358         Pavardenis358       6.12                
Vardenis359         Pavardenis359       6.96                
Vardenis360         Pavardenis360       7.28                
Vardenis361         Pavardenis361       4.96                
Vardenis362         Pavardenis362       7.04                
Vardenis363         Pavardenis363       5.84                
Vardenis364         Pavardenis364       4.16                
Vardenis365         Pavardenis365       3.52                
Vardenis366         Pavardenis366       2.76                
Vardenis367         Pavardenis367       4.96                
Vardenis368         Pavardenis368       2.24                
Vardenis369         Pavardenis369       6.64                
Vardenis370         Pavardenis370       2.92                
Vardenis371         Pavardenis371       7.56                
Vardenis372         Pavardenis372       7.72                
Vardenis373         Pavardenis373       6.08                
Vardenis374         Pavardenis374       4.64                
Vardenis375         Pavardenis375       7.52                
Vardenis376         Pavardenis376       3.24                
Vardenis377         Pavardenis377       5.2                 
Vardenis378         Pavardenis378       2.64                
Vardenis379         Pavardenis379       8.8                 
Vardenis380         Pavardenis380       4.92                
Vardenis381         Pavardenis381       2                   
Vardenis382         Pavardenis382       3.16                
Vardenis383         Pavardenis383       8                   
Vardenis384         Pavardenis384       1.72                
Vardenis385         Pavardenis385       6.8                 
Vardenis386         Pavardenis386       6.64                
Vardenis387         Pavardenis387       2.92                
Vardenis388         Pavardenis388       3.8                 
Vardenis389         Pavardenis389       3                   
Vardenis390         Pavardenis390       4.64                
Vardenis391         Pavardenis391       4.44                
Vardenis392         Pavardenis392       2.92                
Vardenis393         Pavardenis393       6.64                
Vardenis394         Pavardenis394       7.44                
Vardenis395         Pavardenis395       2.44                
Vardenis396         Pavardenis396       3.76                
Vardenis397         Pavardenis397       8.08                
Vardenis398         Pavardenis398       3.28                
Vardenis399         Pavardenis399       4.6                 
Vardenis400         Pavardenis400       5.16                
Vardenis401         Pavardenis401       7.64                
Vardenis402         Pavardenis402       3.68                
Vardenis403         Pavardenis403       5.44                
Vardenis404         Pavardenis404       7.64                
Vardenis405         Pavardenis405       4.24                
Vardenis406         Pavardenis406       7.4                 
Vardenis407         Pavardenis407       4.96                
Vardenis408         Pavardenis408       9.36                
Vardenis409         Pavardenis409       4.36                
Vardenis410         Pavardenis410       6.6                 
Vardenis411         Pavardenis411       6.8                 
Vardenis412         Pavardenis412       2.76                
Vardenis413         Pavardenis413       6.16                
Vardenis414         Pavardenis414       9.6                 
Vardenis415         Pavardenis415       6.52                
Vardenis416         Pavardenis416       2.6                 
Vardenis417         Pavardenis417       7.92                
Vardenis418         Pavardenis418       5.8                 
Vardenis419         Pavardenis419       4.04                
Vardenis420         Pavardenis420       7.24                
Vardenis421         Pavardenis421       6.48                
Vardenis422         Pavardenis422       2.52                
Vardenis423         Pavardenis423       6.2                 
Vardenis424         Pavardenis424       2.28                
Vardenis425         Pavardenis425       3.56                
Vardenis426         Pavardenis426       7.8                 
Vardenis427         Pavardenis427       7.2                 
Vardenis428         Pavardenis428       7.72                
Vardenis429         Pavardenis429       4.76                
Vardenis430         Pavardenis430       6.76                
Vardenis431         Pavardenis431       6.16                
Vardenis432         Pavardenis432       6.52                
Vardenis433         Pavardenis433       5.36                
Vardenis434         Pavardenis434       2.96                
Vardenis435         Pavardenis435       6.28                
Vardenis436         Pavardenis436       8.4                 
Vardenis437         Pavardenis437       8.56                
Vardenis438         Pavardenis438       5.28                
Vardenis439         Pavardenis439       6.36                
Vardenis440         Pavardenis440       3.28                
Vardenis441         Pavardenis441       6.28                
Vardenis442         Pavardenis442       3.8                 
Vardenis443         Pavardenis443       6.64                
Vardenis444         Pavardenis444       5.12                
Vardenis445         Pavardenis445       3.32                
Vardenis446         Pavardenis446       2.2                 
Vardenis447         Pavardenis447       5.4                 
Vardenis448         Pavardenis448       7.92                
Vardenis449         Pavardenis449       3.16                
Vardenis450         Pavardenis450       7                   
Vardenis451         Pavardenis451       8.72                
Vardenis452         Pavardenis452       3.44                
Vardenis453         Pavardenis453       5.96                
Vardenis454         Pavardenis454       4.96                
Vardenis455         Pavardenis455       2.52                
Vardenis456         Pavardenis456       4.32                
Vardenis457         Pavardenis457       3.12                
Vardenis458         Pavardenis458       2.68                
Vardenis459         Pavardenis459       3.44                
Vardenis460         Pavardenis460       3.88                
Vardenis461         Pavardenis461       5.56                
Vardenis462         Pavardenis462       7.24                
Vardenis463         Pavardenis463       7.12                
Vardenis464         Pavardenis464       7.04                
Vardenis465         Pavardenis465       4.24                
Vardenis466         Pavardenis466       3.68                
Vardenis467         Pavardenis467       7.92                
Vardenis468         Pavardenis468       3.4                 
Vardenis469         Pavardenis469       4.4                 
Vardenis470         Pavardenis470       8.64                
Vardenis471         Pavardenis471       4.44                
Vardenis472         Pavardenis472       3.36                
Vardenis473         Pavardenis473       3.64                
Vardenis474         Pavardenis474       4.36                
Vardenis475         Pavardenis475       2.6                 
Vardenis476         Pavardenis476       7.28                
Vardenis477         Pavardenis477       4.28                
Vardenis478         Pavardenis478       3.64                
Vardenis479         Pavardenis479       6.72                
Vardenis480         Pavardenis480       5.08                
Vardenis481         Pavardenis481       7.56                
Vardenis482         Pavardenis482       6.04                
Vardenis483         Pavardenis483       3.12                
Vardenis484         Pavardenis484       1.64                
Vardenis485         Pavardenis485       7.36                
Vardenis486         Pavardenis486       7.04                
Vardenis487         Pavardenis487       4.72                
Vardenis488         Pavardenis488       4.6                 
Vardenis489         Pavardenis489       5.8                 
Vardenis490         Pavardenis490       7.72                
Vardenis491         Pavardenis491       6.48                
Vardenis492         Pavardenis492       1.72                
Vardenis493         Pavardenis493       6.2                 
Vardenis494         Pavardenis494       3.08                
Vardenis495         Pavardenis495       9.76                
Vardenis496         Pavardenis496       7.72                
Vardenis497         Pavardenis497       3.96                
Vardenis498         Pavardenis498       7.76                
Vardenis499         Pavardenis499       7.4                 
Vardenis500         Pavardenis500       3.44                
Vardenis501         Pavardenis501       7.24                
Vardenis502         Pavardenis502       6                   
Vardenis503         Pavardenis503       7.04                
Vardenis504         Pavardenis504       4.96                
Vardenis505         Pavardenis505       4.44                
Vardenis506         Pavardenis506       5.68                
Vardenis507         Pavardenis507       4.24                
Vardenis508         Pavardenis508       7.16                
Vardenis509         Pavardenis509       4                   
Vardenis510         Pavardenis510       5.16                
Vardenis511         Pavardenis511       4.6                 
Vardenis512         Pavardenis512       7.76                
Vardenis513         Pavardenis513       6                   
Vardenis514         Pavardenis514       6.72                
Vardenis515         Pavardenis515       6.52                
Vardenis516         Pavardenis516       5.28                
Vardenis517         Pavardenis517       3.84                
Vardenis518         Pavardenis518       2.48                
Vardenis519         Pavardenis519       3.28                
Vardenis520         Pavardenis520       4.04                
Vardenis521         Pavardenis521       6.16                
Vardenis522         Pavardenis522       6.24                
Vardenis523         Pavardenis523       3                   
Vardenis524         Pavardenis524       4.76                
Vardenis525         Pavardenis525       5.88                
Vardenis526         Pavardenis526       2.28                
Vardenis527         Pavardenis527       9.04                
Vardenis528         Pavardenis528       7.24                
Vardenis529         Pavardenis529       4.6                 
Vardenis530         Pavardenis530       7.32                
Vardenis531         Pavardenis531       5.12                
Vardenis532         Pavardenis532       5.88                
Vardenis533         Pavardenis533       4.96                
Vardenis534         Pavardenis534       4.56                
Vardenis535         Pavardenis535       5.6                 
Vardenis536         Pavardenis536       3.56                
Vardenis537         Pavardenis537       2.72                
Vardenis538         Pavardenis538       6.24                
Vardenis539         Pavardenis539       4.68                
Vardenis540         Pavardenis540       6.6                 
Vardenis541         Pavardenis541       7.12                
Vardenis542         Pavardenis542       5.4                 
Vardenis543         Pavardenis543       6.6                 
Vardenis544         Pavardenis544       8.16                
Vardenis545         Pavardenis545       3.08                
Vardenis546         Pavardenis546       5.6                 
Vardenis547         Pavardenis547       7.72                
Vardenis548         Pavardenis548       6.88                
Vardenis549         Pavardenis549       5.28                
Vardenis550         Pavardenis550       6.48                
Vardenis551         Pavardenis551       4.44                
Vardenis552         Pavardenis552       5.4                 
Vardenis553         Pavardenis553       4.88                
Vardenis554         Pavardenis554       8.08                
Vardenis555         Pavardenis555       6                   
Vardenis556         Pavardenis556       4.4                 
Vardenis557         Pavardenis557       7.48                
Vardenis558         Pavardenis558       5.16                
Vardenis559         Pavardenis559       6.6                 
Vardenis560         Pavardenis560       5.6                 
Vardenis561         Pavardenis561       8.88                
Vardenis562         Pavardenis562       7.04                
Vardenis563         Pavardenis563       7.04                
Vardenis564         Pavardenis564       7.64                
Vardenis565         Pavardenis565       6.84                
Vardenis566         Pavardenis566       8.48                
Vardenis567         Pavardenis567       3.44                
Vardenis568         Pavardenis568       2.92                
Vardenis569         Pavardenis569       6.52                
Vardenis570         Pavardenis570       8.6                 
Vardenis571         Pavardenis571       8.08                
Vardenis572         Pavardenis572       4.56                
Vardenis573         Pavardenis573       2.52                
Vardenis574         Pavardenis574       5.4                 
Vardenis575         Pavardenis575       5.12                
Vardenis576         Pavardenis576       8.16                
Vardenis577         Pavardenis577       3.2                 
Vardenis578         Pavardenis578       4.68                
Vardenis579         Pavardenis579       8.4                 
Vardenis580         Pavardenis580       2.84                
Vardenis581         Pavardenis581       4.4                 
Vardenis582         Pavardenis582       4.72                
Vardenis583         Pavardenis583       7.68                
Vardenis584         Pavardenis584       6.24                
Vardenis585         Pavardenis585       4.24                
Vardenis586         Pavardenis586       3.96                
Vardenis587         Pavardenis587       7.92                
Vardenis588         Pavardenis588       2.92                
Vardenis589         Pavardenis589       2.88                
Vardenis590         Pavardenis590       7.56                
Vardenis591         Pavardenis591       5.72                
Vardenis592         Pavardenis592       4                   
Vardenis593         Pavardenis593       8.24                
Vardenis594         Pavardenis594       6.52                
Vardenis595         Pavardenis595       3.92                
Vardenis596         Pavardenis596       7.16                
Vardenis597         Pavardenis597       6.56                
Vardenis598         Pavardenis598       6.68                
Vardenis599         Pavardenis599       7.04                
Vardenis600         Pavardenis600       7.52                
Vardenis601         Pavardenis601       8.08                
Vardenis602         Pavardenis602       6.32                
Vardenis603         Pavardenis603       4.24                
Vardenis604         Pavardenis604       5                   
Vardenis605         Pavardenis605       7.88                
Vardenis606         Pavardenis606       3.44                
Vardenis607         Pavardenis607       6.8                 
Vardenis608         Pavardenis608       4.8                 
Vardenis609         Pavardenis609       4.8                 
Vardenis610         Pavardenis610       8.56                
Vardenis611         Pavardenis611       3.48                
Vardenis612         Pavardenis612       2.36                
Vardenis613         Pavardenis613       6.32                
Vardenis614         Pavardenis614       6.68                
Vardenis615         Pavardenis615       7.52                
Vardenis616         Pavardenis616       7.56                
Vardenis617         Pavardenis617       7.2                 
Vardenis618         Pavardenis618       6.52                
Vardenis619         Pavardenis619       7.08                
Vardenis620         Pavardenis620       4.08                
Vardenis621         Pavardenis621       6.76                
Vardenis622         Pavardenis622       5.12                
Vardenis623         Pavardenis623       7.2                 
Vardenis624         Pavardenis624       7.04                
Vardenis625         Pavardenis625       7                   
Vardenis626         Pavardenis626       6.56                
Vardenis627         Pavardenis627       6.48                
Vardenis628         Pavardenis628       5.08                
Vardenis629         Pavardenis629       5.24                
Vardenis630         Pavardenis630       6.2                 
Vardenis631         Pavardenis631       6.36                
Vardenis632         Pavardenis632       5.88                
Vardenis633         Pavardenis633       6.6                 
Vardenis634         Pavardenis634       6.52                
Vardenis635         Pavardenis635       4.2                 
Vardenis636         Pavardenis636       6.96                
Vardenis637         Pavardenis637       2.2                 
Vardenis638         Pavardenis638       7.76                
Vardenis639         Pavardenis639       8.56                
Vardenis640         Pavardenis640       5.2                 
Vardenis641         Pavardenis641       3.76                
Vardenis642         Pavardenis642       8.64                
Vardenis643         Pavardenis643       7.88                
Vardenis644         Pavardenis644       4.64                
Vardenis645         Pavardenis645       5.64                
Vardenis646         Pavardenis646       4.64                
Vardenis647         Pavardenis647       4.84                
Vardenis648         Pavardenis648       5.48                
Vardenis649         Pavardenis649       7.04                
Vardenis650         Pavardenis650       6.48                
Vardenis651         Pavardenis651       3.76                
Vardenis652         Pavardenis652       4.2                 
Vardenis653         Pavardenis653       3.84                
Vardenis654         Pavardenis654       6.52                
Vardenis655         Pavardenis655       2.68                
Vardenis656         Pavardenis656       8.04                
Vardenis657         Pavardenis657       7.12                
Vardenis658         Pavardenis658       5                   
Vardenis659         Pavardenis659       6.6                 
Vardenis660         Pavardenis660       4.2                 
Vardenis661         Pavardenis661       2.84                
Vardenis662         Pavardenis662       5.76                
Vardenis663         Pavardenis663       2.6                 
Vardenis664         Pavardenis664       3.24                
Vardenis665         Pavardenis665       4.36                
Vardenis666         Pavardenis666       6.28                
Vardenis667         Pavardenis667       6.12                
Vardenis668         Pavardenis668       3.32                
Vardenis669         Pavardenis669       5.52                
Vardenis670         Pavardenis670       4.4                 
Vardenis671         Pavardenis671       7.68                
Vardenis672         Pavardenis672       8.88                
Vardenis673         Pavardenis673       2.48                
Vardenis674         Pavardenis674       6.6                 
Vardenis675         Pavardenis675       3.76                
Vardenis676         Pavardenis676       7.12                
Vardenis677         Pavardenis677       5.6                 
Vardenis678         Pavardenis678       3.64                
Vardenis679         Pavardenis679       2.36                
Vardenis680         Pavardenis680       3.44                
Vardenis681         Pavardenis681       7.88                
Vardenis682         Pavardenis682       7.52                
Vardenis683         Pavardenis683       4.36                
Vardenis684         Pavardenis684       3.72                
Vardenis685         Pavardenis685       5.6                 
Vardenis686         Pavardenis686       8.72                
Vardenis687         Pavardenis687       7.32                
Vardenis688         Pavardenis688       5.88                
Vardenis689         Pavardenis689       5.32                
Vardenis690         Pavardenis690       6.2                 
Vardenis691         Pavardenis691       4.8                 
Vardenis692         Pavardenis692       5.2                 
